paleoData_pastName,paleoData_pastId,lipdName,synonym,paleoData_isAssemblage,paleoData_datum,paleoData_summaryStatistic,paleoData_measurementMaterial,paleoData_inferredMaterial,paleoData_method,paleoData_isPrimary,Freq,definition
ARSTAN chronology method,1591,ARSTAN,ARS,,,,,,ARSTAN,,173,
missing,missing,Artemesia/Ambrosia,ArtAmb,TRUE,,,,,,,1,
arsenic,829,As,ppm As,,,,,,,,1,
arsenic,829,As,As,,,,,,,,1,
missing,missing,ash,ash,,,,,,,,2,
barium,831,Ba,Ba,,,,,,,,2,
barium,831,Ba,Ba (ppm),,,,,,,,1,
barium,831,Ba,ppm Ba,,,,,,,,1,
barium,831,Ba,Ba peak area,,,,,,peak area,,1,
barium/aluminum,2410,Ba/Al,Ba/Al,,,,,,,,2,
barium/aluminum,2410,Ba/Al,ppmBa/%Al,,,,,,,,1,
barium/calcium,317,Ba/Ca,Ba/Ca,,,,,,,,2,
barium/calcium,317,Ba/Ca,Ba_Ca,,,,,,,,1,
barium/calcium,317,Ba/Ca,log_BaCa,,,log,,,,,,
barium/calcium,317,Ba/Ca,BaCa,,,,,,,,1,
beryllium,833,Be,ppm Be,,,,,,,,1,
missing,missing,Ba/Sr,Ba/Sr,,,,,,,,,
10Be,835,10Be,10Be,,,,,,,,,
branched and isoprenoid tetraether index,1676,BIT,BIT,,,,,,,,6,
branched and isoprenoid tetraether index,1676,BIT,BITindex,,,,,,,,2,
branched and isoprenoid tetraether index,1676,BIT,BITindex-3pt,,,3pt average,,,,,1,
boron,1188,boron,B,,,,,,,,2,
bromine,1634,Br,Br,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-Ia,brGDGT-Ia,,,,,,,,2,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-Ia,brGDGTIa,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-Ia,Ia,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-Ib,brGDGT-Ib,,,,,,,,2,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-Ib,brGDGTIb,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-Ib,Ib,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-Ib,br1020,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-Ib,Br1020,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-Ic,brGDGT-Ic,,,,,,,,2,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-Ic,Ic,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIa5me,brGDGT-IIa,,,,,,,,2,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIa5me,brGDGTIia,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIa5me,IIa,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIa5me,br1036,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIa5me,Br1036,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIa6me,brGDGT-IIa',,,,,,,,2,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIa6me,IIa',,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIb5me,brGDGT-IIb,,,,,,,,2,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIb5me,brGDGTIib,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIb5me,IIb,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIb6me,brGDGT-IIb',,,,,,,,2,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIb6me,IIb',,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIc5me,brGDGT-IIc,,,,,,,,2,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIc5me,IIc,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIc6me,brGDGT-IIc',,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIc6me,IIc',,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIa5me,brGDGT-IIIa,,,,,,,,2,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIa5me,brGDGTIIIa,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIa5me,IIIa,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIa5me,br1050,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIa5me,Br1050,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIa6me,brGDGT-IIIa',,,,,,,,2,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIa6me,IIIa',,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIb5me,brGDGT-IIIb,,,,,,,,2,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIb5me,brGDGTIIIb,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIb5me,IIIb,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIb5me,br1048,,,,,,,,1,
missing,missing,bubbleNumberDensity,bubbleNumberDensity,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIb5me,Br1048,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIb6me,brGDGT-IIIb',,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIb6me,IIIb',,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIc5me,brGDGT-IIIc,,,,,,,,1,
,,ArtemesiaChenopodiumSar,ArtChenoSar,TRUE,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIc5me,IIIc,,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIc6me,brGDGT-IIIc',,,,,,,,1,
branched glycerol dialkyl glycerol tetraether,1675,brGDGT-IIIc6me,IIIc',,,,,,,,1,
biogenic silica,4018,BSi,BSi,,,,,,,,34,
biogenic silica,4018,BSi,Bsi_3pt,,,running mean 3 point,,,,,1,
biogenic silica,4018,BSi,Bsi_Raw,,,,,,,,1,
biogenic silica,4018,BSi,Inferred BSi,,,,,,inferred,,1,
biogenic silica,4018,BSi,BioSi,,,,,,,,1,
missing,missing,bulkDensity,bulk density,,,,,,,,3,The density of bulk sediment measured in mass divided by volume
missing,missing,C25_2n-alkanoicAcid,C25:2 concentration,,,concentration,C25:2,,,,1,
carbon/nitrogen,750,C/N,molarCN,,,molar,,,,,1,
carbon/nitrogen,750,C/N,C_N,,,,,,,,1,
carbon/nitrogen,750,C/N,C/N organic,,,,organic,,,,1,
carbon/nitrogen,750,C/N,C/N,,,,,,,,15,
C20 n-alkanoic acid,3961,C20n-alkanoicAcid,C20 n,,,,C20,,,,2,
C20 n-alkanoic acid,3961,C20n-alkanoicAcid,C20FAMEconcentration,,,concentration,C20,,FAME,,2,
C20 n-alkanoic acid,3961,C20n-alkanoicAcid,C20 concentration,,,concentration,C20,,,,2,
C20 n-alkanoic acid,3961,C20n-alkanoicAcid,C20 FAME Concentration,,,concentration,C20,,FAME,,1,
C20 n-alkanoic acid,3961,C20n-alkanoicAcid,C20concentration,,,concentration,C20,,,,1,
C20 n-alkanoic acid,3961,C20n-alkanoicAcid,C20n,,,,C20,,,,1,
C20 n-alkanoic acid,3961,C20n-alkanoicAcid,C20SEM,,,,C20,,SEM,,1,
C20 n-alkanoic acid,3961,C20n-alkanoicAcid,C20 SEM,,,,C20,,SEM,,1,
C20 n-alkanoic acid,3961,C20n-alkanoicAcid,C20n-alkenoicAcid,,,,,,,,,
C21 n-alkanoic acid,3962,C21n-alkanoicAcid,C21FAMEconcentration,,,concentration,C21,,FAME,,2,
C21 n-alkanoic acid,3962,C21n-alkanoicAcid,C21 concentration,,,concentration,C21,,,,1,
C21 n-alkanoic acid,3962,C21n-alkanoicAcid,C21 FAME Concentration,,,concentration,C21,,FAME,,1,
,,Picea,Picea,TRUE,,,,,,,10,
C22 n-alkanoic acid,2277,C22n-alkanoicAcid,C22 n,,,,C22,,,,2,
C22 n-alkanoic acid,2277,C22n-alkanoicAcid,C22FAMEconcentration,,,concentration,C22,,FAME,,2,
C22 n-alkanoic acid,2277,C22n-alkanoicAcid,C22 FAME Concentration,,,concentration,C22,,FAME,,1,
C22 n-alkanoic acid,2277,C22n-alkanoicAcid,C22concentration,,,concentration,C22,,,,1,
C22 n-alkanoic acid,2277,C22n-alkanoicAcid,C22n,,,,C22,,,,1,
C22 n-alkanoic acid,2277,C22n-alkanoicAcid,C22SEM,,,,C22,,SEM,,1,
C22 n-alkanoic acid,2277,C22n-alkanoicAcid,C22 SEM,,,,C22,,SEM,,1,
C23 n-alkanoic acid,3963,C23n-alkanoicAcid,C23FAMEconcentration,,,concentration,C23,,FAME,,2,
C23 n-alkanoic acid,3963,C23n-alkanoicAcid,C23 concentration,,,concentration,C23,,,,1,
C23 n-alkanoic acid,3963,C23n-alkanoicAcid,C23 FAME Concentration,,,concentration,C23,,FAME,,1,
C23 n-alkanoic acid,3963,C23n-alkanoicAcid,C23 n,,,,C23,,,,1,
C23 n-alkanoic acid,3963,C23n-alkanoicAcid,C23C31,,,,C23,,,,1,
C24 n-alkanoic acid,2278,C24n-alkanoicAcid,nC24,,,,C23,,,,5,
C24 n-alkanoic acid,2278,C24n-alkanoicAcid,C24 n,,,,C24,,,,2,
C24 n-alkanoic acid,2278,C24n-alkanoicAcid,C24FAMEconcentration,,,concentration,C24,,FAME,,2,
C24 n-alkanoic acid,2278,C24n-alkanoicAcid,C24 FAME Concentration,,,concentration,C24,,FAME,,1,
C24 n-alkanoic acid,2278,C24n-alkanoicAcid,C24concentration,,,concentration,C24,,,,1,
C24 n-alkanoic acid,2278,C24n-alkanoicAcid,C24n,,,,C24,,,,1,
C24 n-alkanoic acid,2278,C24n-alkanoicAcid,C24SEM,,,,C24,,SEM,,1,
C24 n-alkanoic acid,2278,C24n-alkanoicAcid,C24 concentration,,,concentration,C24,,,,1,
C24 n-alkanoic acid,2278,C24n-alkanoicAcid,C24 SEM,,,,C24,,SEM,,1,
,,Artemisia,Artemisia,TRUE,,,,,,,8,
C24 n-alkanoic acid,2278,C24n-alkanoicAcid,n C24,,,,C24,,,,1,
missing,missing,Cd/Mn,ppm Cd/% Mn,,,,,,,,1,
,,Pinyon,Pinyon,TRUE,,,,,,,8,
C25 n-alkanoic acid,3964,C25n-alkanoicAcid,C25FAMEconcentration,,,concentration,C25,,FAME,,2,
C25 n-alkanoic acid,3964,C25n-alkanoicAcid,C25 concentration,,,concentration,C25,,,,1,
C25 n-alkanoic acid,3964,C25n-alkanoicAcid,C25 FAME Concentration,,,concentration,C25,,FAME,,1,
C25 n-alkanoic acid,3964,C25n-alkanoicAcid,C25 n,,,,C25,,,,1,
C26 n-alkanoic acid,2279,C26n-alkanoicAcid,nC26,,,,C26,,,,5,
C26 n-alkanoic acid,2279,C26n-alkanoicAcid,C26 n,,,,C26,,,,2,
C26 n-alkanoic acid,2279,C26n-alkanoicAcid,C26FAMEconcentration,,,concentration,C26,,FAME,,2,
C26 n-alkanoic acid,2279,C26n-alkanoicAcid,C26 FAME Concentration,,,concentration,C26,,FAME,,1,
C26 n-alkanoic acid,2279,C26n-alkanoicAcid,C26concentration,,,concentration,C26,,,,1,
C26 n-alkanoic acid,2279,C26n-alkanoicAcid,C26n,,,,C26,,,,1,
C26 n-alkanoic acid,2279,C26n-alkanoicAcid,C26OH0x2F0x28C26OH0x2BC290x29,,,,C26,,,,1,
C26 n-alkanoic acid,2279,C26n-alkanoicAcid,C26SEM,,,,C26,,,,1,
C26 n-alkanoic acid,2279,C26n-alkanoicAcid,C26 concentration,,,concentration,C26,,,,1,
C26 n-alkanoic acid,2279,C26n-alkanoicAcid,C26 SEM,,,,C26,,SEM,,1,
C26 n-alkanoic acid,2279,C26n-alkanoicAcid,n C26,,,,C26,,,,1,
,,broadleavedWoodyCover,BroadleavedWoodyCover___,TRUE,,,,,,,1,
C27 n-alkanoic acid,3968,C27n-alkanoicAcid,C27FAMEconcentration,,,concentration,C27,,FAME,,2,
C27 n-alkanoic acid,3968,C27n-alkanoicAcid,C27 concentration,,,concentration,C27,,,,1,
C27 n-alkanoic acid,3968,C27n-alkanoicAcid,C27 FAME Concentration,,,concentration,C27,,,,1,
C27 n-alkanoic acid,3968,C27n-alkanoicAcid,C27 n,,,,C27,,,,1,
C28 n-alkanoic acid,2280,C28n-alkanoicAcid,nC28,,,,C28,,,,5,
C28 n-alkanoic acid,2280,C28n-alkanoicAcid,C28 n,,,,C28,,,,2,
C28 n-alkanoic acid,2280,C28n-alkanoicAcid,C28FAMEconcentration,,,concentration,C28,,FAME,,2,
,,pollen,PinusTotal,TRUE,,,,,,,6,
C28 n-alkanoic acid,2280,C28n-alkanoicAcid,n-C28,,,,C28,,,,2,
C28 n-alkanoic acid,2280,C28n-alkanoicAcid,n C28,,,,C28,,,,2,
C28 n-alkanoic acid,2280,C28n-alkanoicAcid,C28 FAME Concentration,,,concentration,C28,,FAME,,1,
C28 n-alkanoic acid,2280,C28n-alkanoicAcid,C28concentration,,,concentration,C28,,,,1,
C28 n-alkanoic acid,2280,C28n-alkanoicAcid,C28n,,,,C28,,,,1,
C28 n-alkanoic acid,2280,C28n-alkanoicAcid,C28SEM,,,,C28,,SEM,,1,
C28 n-alkanoic acid,2280,C28n-alkanoicAcid,nC28_err,,,,C28,,,,1,
C28 n-alkanoic acid,2280,C28n-alkanoicAcid,nC28_rep,,,,C28,,,,1,
C28 n-alkanoic acid,2280,C28n-alkanoicAcid,C28 concentration,,,concentration,C28,,,,1,
C28 n-alkanoic acid,2280,C28n-alkanoicAcid,C28 SEM,,,,C28,,SEM,,1,
C29 n-alkanoic acid,3965,C29n-alkanoicAcid,C29FAMEconcentration,,,concentration,C29,,FAME,,2,
C29 n-alkanoic acid,3965,C29n-alkanoicAcid,C29 concentration,,,concentration,C29,,,,1,
C29 n-alkanoic acid,3965,C29n-alkanoicAcid,C29 FAME Concentration,,,concentration,C29,,FAME,,1,
C29 n-alkanoic acid,3965,C29n-alkanoicAcid,C29 n,,,,C29,,,,1,
C30 n-alkanoic acid,2281,C30n-alkanoicAcid,C30 n,,,,C30,,,,2,
C30 n-alkanoic acid,2281,C30n-alkanoicAcid,C30FAMEconcentration,,,concentration,C30,,FAME,,2,
C30 n-alkanoic acid,2281,C30n-alkanoicAcid,C30 FAME Concentration,,,concentration,C30,,FAME,,1,
C30 n-alkanoic acid,2281,C30n-alkanoicAcid,C30concentration,,,concentration,C30,,,,1,
C30 n-alkanoic acid,2281,C30n-alkanoicAcid,C30n,,,,C30,,,,1,
C30 n-alkanoic acid,2281,C30n-alkanoicAcid,C30SEM,,,,C30,,SEM,,1,
C30 n-alkanoic acid,2281,C30n-alkanoicAcid,nC30_rep,,,,C30,,,,1,
C30 n-alkanoic acid,2281,C30n-alkanoicAcid,C30 concentration,,,concentration,C30,,,,1,
C30 n-alkanoic acid,2281,C30n-alkanoicAcid,C30 SEM,,,,C30,,SEM,,1,
C31 n-alkanoic acid,3966,C31n-alkanoicAcid,C31FAMEconcentration,,,concentration,C31,,FAME,,2,
C31 n-alkanoic acid,3966,C31n-alkanoicAcid,C31 concentration,,,concentration,C31,,,,1,
C31 n-alkanoic acid,3966,C31n-alkanoicAcid,C32FAMEconcentration,,,concentration,C32,,FAME,,2,
C37:2 alkenone,4586,C37:2Alkenone,C37:2,,,,C37:2,,,,1,
C37:3 alkenone,4587,C37:3aAlkenone,C37:3a,,,,C37:3a,,,,1,
C37:3 alkenone,4587,C37:3bAlkenone,C37:3b,,,,C37:3b,,,,1,
C37:4 alkenone,4588,C37:4Alkenone,C370x3A4,,,,C37:4,,,,1,
C37:4 alkenone,4588,C37:4Alkenone,C34:4,,,,C34:4,,,,1,
C37 alkenone,4585,C37Alkenone,C37.concentration,,,concentration,C37,,,,9,
C37 alkenone,4585,C37Alkenone,totalC37,,,total,C37,,,,3,
calcium,848,Ca,Ca,,,,,,,,9,
calcium,848,Ca,CaProp,,,prop,,,,,2,
calcium,848,Ca,% Ca-detr,,,,,,,,1,
calcium,848,Ca,% Ca-ex,,,,,,,,1,
calcium,848,Ca,Ca peak area,,,,,,,,1,
calcium,848,Ca,Ca__,,,,,,,,1,
calcium,848,Ca,Ca  peak area,,,,,,peak area,,1,
calcium/potassium,3783,Ca/K,Ca/K,,,,,,,,1,
calcium/strontium,3684,Ca/Sr,Ca/Sr,,,,,,,,1,
missing,missing,Ca/Mg,Ca/Mg,,,,,,,,,
calcium/titanium,1635,Ca/Ti,Ti/Ca,,,,,,,,3,
calcium/titanium,1635,Ca/Ti,Ca/Ti,,,,,,,,1,
calcium/titanium,1635,Ca/Ti,Ca/Ti-z,,,standard deviation,,,,,3,
calcium carbonate,980,CaCO3,CaCO3,,,,,,,,20,
calcium carbonate,980,CaCO3,% CaCO3-ex,,,,,,,,1,
,,Quercus,Quercus,TRUE,,,,,,,4,
calcium carbonate,980,CaCO3,CaCO3-IC,,,,,,,,1,
calcification rate,756,calcificationRate,calcification,,,,,,,,29,
calcite,482,calcite,Calcite,,,,,,,,1,
calcium oxide,1661,CaO,CaO,,,,,,,,2,
carbon,841,carbon,C,,,,,,,,14,
carbon,841,carbon,% TC,,,,,,,,1,
carbon,841,carbon,% Total C,,,,,,,,1,
carbon,841,carbon,%_tc,,,,,,,,1,
carbon,841,carbon,x_C,,,,,,,,1,
carbonate,692,carbonate,% Carbonate,,,,,,,,1,
carbonate,692,carbonate,carbonate,,,,,,,,3,
carbonate,692,carbonate,carb%,,,,,,,,,
cyclization index of branched tetraethers,1678,CBT,CBT,,,,,,,,4,
multivariate eigenvector-based variable,4060,CCA1,CCA1,,,,,,Canonical correlation analysis,,4,Canonical correlation analysis axis 1
multivariate eigenvector-based variable,4060,CCA1,caaxis1,,,,,,,,1,
multivariate eigenvector-based variable,4060,CCA2,caaxis2,,,,,,,,2,
multivariate eigenvector-based variable,4060,CCA2,CCA2,,,,,,Canonical correlation analysis,,2,
cadmium,846,Cd,Cd,,,,,,,,1,
cadmium,846,Cd,Cd MAR (ug/cm2/ky),,,MAR,,,,,1,
cadmium,846,Cd,ppm Cd,,,,,,,,1,
missing,missing,core,core,,,,,,,,204,
,,abies,Abies,TRUE,,,,,,,3,
,,actinocyclusCurvatulus,Actinocyclus_curvatulus,TRUE,,,,,,,3,
,,alnus,Alnus,TRUE,,,,,,,3,
,,azpeitiaNodulifer,Azpeitia_nodulifer,TRUE,,,,,,,3,
charcoal,630,charcoal,chacoal_influx,,,flux,,,flux,,1,
charcoal,630,charcoal,charcoal,,,,,,,,1,
chloride,852,chloride,chloride,,,,,,,,2,
circulation index,2270,circulationIndex,GoE,,,,,,GoE,,1,
circulation index,2270,circulationIndex,GoF,,,,,,GoF,,1,
chlorine,850,Cl,Cl,,,,,,,,2,
chlorine,850,Cl,Cl_,,,,,,,,1,
chlorin,3244,chlorin,chlorin,,,,,,,,,
clay,1532,clay,clay,,,,,,,,4,
clay,1532,clay,%_clay,,,,,,,,1,
clay,1532,clay,Clay,,,,,,,,1,
clay,1532,clay,x_Clay,,,,,,,,1,
statistical variable,1101,cluster,cluster2,,,,,,,,1,
statistical variable,1101,cluster,cluster,,,,,,,,,
cobalt,859,Co,Co,,,,,,,,1,
cobalt,859,Co,ppm Co,,,,,,,,1,
proxy composite,3909,composite,composite,,,,,,,,6,
,,Compositae,Compositae,TRUE,,,,,,,1,
proxy composite,3909,composite,hybrid,,,,,,,,1,
proxy composite,3909,composite,Hybrid,,,,,,,,1,
concentration unit,3908,concentration,Concentration (C25-35),,,,,,,,1,
concentration unit,3908,concentration,Friedel-3-ene concentration,,,,Friedel-3-ene,,,,1,
concentration unit,3908,concentration,Hop-17(21)-ene concentration,,,,,,,,1,
concentration unit,3908,concentration,concentration,,,,,,,,1,
missing,missing,core,CoreName,,,,,,,,5,
missing,missing,core,Core ID,,,,,,,,2,
missing,missing,core,core name,,,,,,,,2,
missing,missing,core,DUNE_A,,,,,,,,1,
missing,missing,core,Core Name,,,,,,,,1,
missing,missing,core,Core Section,,,,,,,,1,
missing,missing,core,Core_number,,,,,,,,1,
,,Roperia_tesselata,Roperia_tesselata,TRUE,,,,,,,3,
missing,missing,core,CoreSect1H,,,,,,,,1,
missing,missing,core,originalCoreName,,,,,,,,1,
missing,missing,core,Stal.ID,,,,,,,,1,
missing,missing,core,Core name,,,,,,,,1,
missing,missing,core,Core,,,,,,,,,
missing,missing,d2HUncertaintyHigh80,Precip dD 90 CI,,,quantile 90,,,,,1,
,,Sequoia,Sequoia,TRUE,,,,,,,3,
corrected,675,correction,hasAragoniteCorrection,,,,,,aragonite correction,,256,
corrected,675,correction,hasAragoniteCorrectionComposite,,,composite,,,aragonite correction,,50,
corrected,675,correction,Iso adjustment for ocean calibration,,,,,,Iso adjustment for ocean calibration,,1,
corrected,675,correction,Years for ocean correction,,,,,,years for ocean correction,,1,
correlation coefficient,3427,correlationCoefficient,corrs,,,CORR,,,,,173,
count,704,count,count,,,,,,,,19,
count,704,count,abundance,,,,,,,,1,
count,704,count,Numbe_counted,,,,,,,,1,
count,704,count,number,,,,,,,,1,
count,704,count,Number_counted,,,,,,,,1,
count,704,count,numInZone,,,,,,,,1,
count,704,count,Slide count,,,,slides,,,,1,
count,704,count,Varve_number,,,,varve,,,,1,
count,704,count,count_analyses_B3,,,,,,,,1,
count,704,count,count_analyses_C2,,,,,,,,1,
count,704,count,count_analyses_C3,,,,,,,,1,
count,704,count,count_analyses_C5,,,,,,,,1,
count,704,count,count_analyses_C6,,,,,,,,1,
count,704,count,sampleDensity,,,,,,,,1,
count,704,count,total,,,,,,,,1,
count,704,count,Total_grains_counted,,,,total grains,,,,1,
count,704,count,total_non_Chaetoceros_counted,,,,Chaetoceros,,,,1,
count,704,count,total_xount,,,,,,,,1,
count,704,count,TotalAmmoniaBeccarii,,,,Ammonia Beccarii,,,,1,
carbon preference index,2125,CPI,CPI,,,,,,,,2,
carbon preference index,2125,CPI,CarbonPreferenceIndex20to30,,,,,,20to30,,2,
carbon preference index,2125,CPI,CarbonPreferenceIndex20to32,,,,,,20to32,,2,
carbon preference index,2125,CPI,CPI (27-33),,,,,,CPI (27-33),,1,
carbon preference index,2125,CPI,CPI_25-33,,,,,,CPI_25-33,,1,
carbon preference index,2125,CPI,CPI22-30,,,,,,CPI22-30,,1,
chromium,854,Cr,Cr,,,,,,,,1,
chromium,854,Cr,ppm Cr,,,,,,,,1,
copper,284,Cu,ppm Cu,,,,,,,,1,
delta 13C,320,d13C,d13C,,,,,,,,292,
delta 13C,320,d13C,d13CComposite,,,,,,,,28,
delta 13C,320,d13C,d13CPrecisionComposite,,,,,,,,28,
delta 13C,320,d13C,d13CStandardComposite,,,,,,,,28,
delta 13C,320,d13C,d13c_pachyderma,,,,pachyderma,,,,21,
delta 13C,320,d13C,planktic.d13C,,,,planktic,,,,19,
delta 13C,320,d13C,d13c_bulloides,,,,bulloides,,,,8,
delta 13C,320,d13C,d13c_sacculifer,,,,sacculifer,,,,7,
delta 13C,320,d13C,d13c_ruber_pink,,,,ruber_pink,,,,5,
delta 13C,320,d13C,C29 δ13C,,,,C29,,,,4,
delta 13C,320,d13C,d13c_ruber,,,,ruber,,,,3,
delta 13C,320,d13C,C31 δ13C,,,,C31,,,,3,
delta 13C,320,d13C,D13C,,,,,,,,3,
